Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Date_month,Date_day
3,13.4,30.4,0.0,4.2,9.8,3.0,30.0,11.0,15.0,17.0,6.0,48.0,22.0,1011.8,1008.7,7.0,1.0,20.4,28.8,0,1,12,11
3,15.9,21.7,2.0,3.2,13.6,6.0,31.0,9.0,13.0,15.0,13.0,89.0,91.0,1010.5,1004.2,8.0,8.0,15.9,17.0,1,1,12,12
3,15.9,18.6,2.0,6.6,5.8,4.0,61.0,0.0,1.0,28.0,28.0,76.0,93.0,1004.15,1001.15,8.0,8.0,17.4,15.8,1,1,12,13
3,12.6,21.0,2.0,1.2,1.2,9.0,44.0,5.0,7.0,24.0,20.0,65.0,43.0,1004.15,1001.8,7.0,7.0,15.8,19.8,1,0,12,14
3,8.4,24.6,0.0,5.6,4.9,15.0,37.0,10.0,3.0,4.0,30.0,57.0,32.0,1009.7,1008.7,0.0,2.0,15.9,23.5,0,0,12,15
3,9.8,27.7,0.0,4.0,10.8,2.0,50.0,1.0,3.0,11.0,22.0,50.0,28.0,1013.4,1010.3,0.0,1.0,17.3,26.2,0,0,12,16
3,14.1,20.9,0.0,4.6,7.8,14.0,22.0,8.0,14.0,11.0,9.0,69.0,82.0,1012.2,1010.4,8.0,1.0,17.2,18.1,0,1,12,17
3,13.5,22.9,2.0,6.6,1.9,4.0,63.0,1.0,3.0,6.0,20.0,80.0,65.0,1005.8,1002.2,8.0,1.0,18.0,21.5,1,1,12,18
3,11.2,22.5,2.0,2.6,11.7,10.0,43.0,6.0,9.0,24.0,17.0,47.0,32.0,1009.4,1009.7,1.0,2.0,15.5,21.0,1,0,12,19
3,9.8,25.6,0.0,4.4,9.3,10.0,26.0,13.0,1.0,17.0,6.0,45.0,26.0,1019.2,1017.1,1.0,4.0,15.8,23.2,0,0,12,20
3,11.5,29.3,0.0,6.2,10.2,7.0,24.0,13.0,10.0,9.0,9.0,56.0,28.0,1019.3,1014.8,7.0,2.0,19.1,27.3,0,0,12,21
3,17.1,33.0,0.0,9.2,8.6,11.0,43.0,9.0,2.0,17.0,22.0,38.0,28.0,1013.6,1008.1,1.0,1.0,24.5,31.6,0,0,12,22
3,20.5,31.8,0.0,7.0,9.5,2.0,41.0,5.0,4.0,19.0,20.0,54.0,24.0,1007.8,1005.7,2.0,8.0,23.8,30.8,0,0,12,23
3,15.3,30.9,0.0,6.4,11.1,3.0,33.0,14.0,0.0,6.0,13.0,55.0,23.0,1011.0,1008.2,5.0,5.0,20.9,29.0,0,0,12,24
3,12.6,32.4,0.0,5.0,9.5,4.0,43.0,15.0,4.0,4.0,19.0,49.0,17.0,1012.9,1010.1,8.0,0.0,21.5,31.2,0,0,12,25
3,16.2,33.9,0.0,3.2,6.6,5.0,35.0,13.0,6.0,9.0,13.0,45.0,19.0,1010.9,1007.6,3.0,1.0,23.2,33.0,0,0,12,26
3,16.9,33.0,0.0,9.6,1.9,5.0,57.0,1.0,4.0,0.0,26.0,41.0,28.0,1006.8,1003.6,7.0,1.0,26.6,31.2,0,0,12,27
3,20.1,32.7,0.0,1.4,12.6,2.0,48.0,1.0,3.0,13.0,30.0,56.0,15.0,1005.2,1001.7,2.0,1.0,24.6,32.1,0,0,12,28
3,19.7,27.2,0.0,1.6,9.8,2.0,46.0,2.0,6.0,19.0,30.0,49.0,22.0,1004.8,1004.2,6.0,1.0,21.6,26.1,0,1,12,29
3,12.5,24.2,1.2,5.6,0.2,2.0,50.0,6.0,9.0,11.0,22.0,78.0,70.0,1005.6,1003.4,8.0,8.0,12.5,18.2,1,0,12,30
3,12.0,24.4,0.8,7.2,7.4,4.0,39.0,4.0,3.0,17.0,17.0,48.0,28.0,1006.1,1005.1,1.0,7.0,16.9,22.7,0,0,12,31
3,11.3,26.5,0.0,2.2,10.7,2.0,56.0,5.0,3.0,19.0,31.0,46.0,26.0,1004.5,1003.2,7.0,5.0,19.7,25.7,0,0,1,1
3,9.6,23.9,0.0,7.6,9.2,4.0,41.0,6.0,7.0,19.0,11.0,44.0,22.0,1014.4,1013.1,7.0,5.0,14.9,22.1,0,0,1,2
3,10.5,28.8,0.0,3.6,7.1,10.0,26.0,11.0,14.0,11.0,7.0,43.0,22.0,1018.7,1014.8,5.0,7.0,17.1,26.5,0,0,1,3
3,12.3,34.6,0.0,5.6,6.9,2.0,37.0,11.0,0.0,6.0,17.0,41.0,12.0,1015.1,1010.3,1.0,6.0,20.7,33.9,0,0,1,4
3,12.9,35.8,0.0,2.6,11.0,2.0,41.0,12.0,0.0,6.0,26.0,41.0,9.0,1012.6,1009.2,0.0,8.0,22.4,34.4,0,0,1,5
3,13.7,37.9,0.0,9.4,4.8,4.0,52.0,13.0,3.0,4.0,26.0,33.0,8.0,1010.9,1006.7,5.0,6.0,23.1,36.8,0,0,1,6
3,16.1,38.9,0.0,7.8,9.0,4.0,57.0,15.0,4.0,6.0,30.0,34.0,12.0,1007.0,1002.7,6.0,2.0,25.2,38.4,0,0,1,7
3,14.0,28.3,0.0,1.2,5.6,4.0,48.0,5.0,6.0,17.0,24.0,43.0,15.0,1011.9,1010.9,6.0,4.0,17.9,27.6,0,0,1,8
3,12.5,28.4,0.0,4.2,11.5,11.0,37.0,11.0,8.0,20.0,9.0,38.0,16.0,1017.8,1013.7,5.0,2.0,17.2,26.6,0,0,1,9
3,17.0,30.8,0.0,8.4,10.7,11.0,37.0,3.0,14.0,15.0,11.0,36.0,24.0,1013.4,1008.1,4.0,0.0,20.2,29.3,0,0,1,10
3,16.9,32.0,0.0,7.6,6.9,7.0,31.0,11.0,2.0,13.0,17.0,52.0,31.0,1009.9,1006.8,1.0,7.0,22.8,30.0,0,0,1,11
3,17.3,34.7,0.0,4.0,9.4,9.0,35.0,13.0,6.0,7.0,15.0,48.0,16.0,1014.1,1012.1,7.0,7.0,24.2,33.2,0,0,1,12
3,17.2,37.7,0.0,11.8,9.8,0.0,35.0,13.0,0.0,7.0,17.0,51.0,19.0,1015.7,1010.9,7.0,1.0,24.3,35.7,0,0,1,13
3,17.4,41.59,0.0,7.6,9.7,1.0,39.0,11.0,7.0,7.0,17.0,40.0,8.0,1011.6,1006.9,6.0,1.0,25.6,39.4,0,0,1,14
3,19.8,32.7,0.0,1.2,10.5,2.0,44.0,5.0,4.0,20.0,28.0,34.0,28.0,1008.4,1009.2,5.0,4.0,27.6,27.1,0,0,1,15
3,14.9,26.7,0.0,1.6,8.8,9.0,56.0,6.0,9.0,20.0,31.0,46.0,20.0,1014.1,1012.7,4.0,5.0,18.0,25.5,0,0,1,16
3,10.5,28.4,0.0,1.6,13.2,12.0,33.0,13.0,9.0,19.0,11.0,35.0,16.0,1019.7,1017.4,6.0,8.0,16.0,25.8,0,0,1,17
3,11.3,32.2,0.0,2.0,10.6,2.0,28.0,12.0,7.0,17.0,15.0,34.0,17.0,1019.7,1016.2,0.0,8.0,20.9,30.5,0,0,1,18
3,13.9,36.6,0.0,3.6,9.4,2.0,39.0,11.0,5.0,2.0,15.0,39.0,10.0,1015.8,1010.6,1.0,3.0,22.0,34.4,0,0,1,19
3,18.6,39.9,0.0,11.6,9.0,0.0,61.0,11.0,3.0,9.0,20.0,36.0,21.0,1010.1,1004.8,2.0,7.0,26.8,37.7,0,0,1,20
3,19.3,38.1,0.8,9.6,6.2,0.0,61.0,9.0,6.0,15.0,17.0,48.0,17.0,1009.6,1005.9,2.0,6.0,27.3,36.1,0,0,1,21
3,24.4,34.0,0.6,3.8,12.7,1.0,70.0,1.0,1.0,26.0,43.5,60.0,39.0,1005.3,1001.15,4.0,1.0,26.1,33.1,0,1,1,22
3,18.8,35.2,2.0,2.2,8.2,2.0,52.0,10.0,0.0,6.0,28.0,43.0,28.0,1007.9,1003.9,1.0,5.0,22.8,33.0,1,0,1,23
3,20.8,30.6,0.0,2.8,7.1,4.0,54.0,5.0,4.0,30.0,28.0,41.0,21.0,1005.4,1007.6,7.0,1.0,23.3,29.7,0,0,1,24
3,14.0,34.3,0.0,13.0,9.1,5.0,24.0,14.0,12.0,7.0,13.0,44.0,10.0,1016.5,1014.6,5.0,7.0,21.2,32.1,0,0,1,25
3,15.7,38.4,0.0,9.4,2.6,7.0,33.0,11.0,6.0,7.0,7.0,48.0,12.0,1017.7,1014.6,7.0,7.0,23.4,36.5,0,0,1,26
3,18.5,38.2,0.0,5.6,6.8,6.0,31.0,13.0,1.0,9.0,17.0,48.0,25.0,1017.8,1014.1,2.0,5.0,25.8,36.2,0,0,1,27
3,20.4,40.7,0.0,2.0,13.1,3.0,37.0,15.0,5.0,7.0,13.0,45.0,15.0,1014.9,1011.6,6.0,3.0,28.2,39.2,0,0,1,28
3,21.8,41.5,0.0,7.8,5.6,9.0,24.0,14.0,8.0,6.0,11.0,38.0,13.0,1015.7,1011.8,8.0,8.0,29.0,39.4,0,0,1,29
3,22.3,41.59,0.0,6.6,8.1,6.0,28.0,14.0,10.0,9.0,11.0,37.0,11.0,1014.6,1010.2,1.0,2.0,29.2,39.4,0,0,1,30
3,22.0,41.59,0.0,5.0,6.3,13.0,48.0,14.0,9.0,4.0,4.0,33.0,11.0,1014.2,1010.5,1.0,5.0,29.9,39.4,0,0,1,31
3,28.0,41.59,0.0,8.0,8.4,9.0,70.0,13.0,14.0,15.0,9.0,27.0,9.0,1012.5,1008.7,0.0,2.0,32.4,39.4,0,0,2,1
3,24.4,38.3,0.2,12.2,6.0,9.0,56.0,9.0,0.0,19.0,7.0,32.0,21.0,1011.7,1007.4,7.0,5.0,28.8,37.1,0,0,2,2
3,21.5,37.7,0.0,1.0,13.1,15.0,37.0,1.0,10.0,13.0,9.0,51.0,21.0,1009.2,1005.7,0.0,6.0,27.2,36.2,0,0,2,3
3,21.7,36.9,0.0,6.6,5.7,15.0,37.0,1.0,10.0,11.0,11.0,53.0,26.0,1008.8,1004.7,7.0,6.0,25.5,35.2,0,0,2,4
3,21.5,41.2,0.0,6.2,0.9,5.0,35.0,11.0,8.0,7.0,19.0,48.0,15.0,1005.9,1002.6,5.0,7.0,26.5,39.4,0,0,2,5
3,23.5,41.59,0.0,8.4,10.9,4.0,37.0,13.0,4.0,6.0,15.0,39.0,8.0,1008.0,1005.0,5.0,7.0,28.7,39.4,0,0,2,6
3,22.3,41.59,0.0,5.4,11.8,0.0,59.0,13.0,0.0,9.0,33.0,36.0,11.0,1008.2,1003.8,8.0,5.0,29.6,39.4,0,0,2,7
3,28.3,40.2,0.0,9.6,9.6,1.0,52.0,1.0,4.0,9.0,22.0,20.0,19.0,1007.0,1006.5,8.0,5.0,34.5,38.5,0,0,2,8
3,18.4,31.2,0.4,3.2,7.2,12.0,37.0,7.0,6.0,7.0,11.0,66.0,31.0,1009.3,1007.8,7.0,8.0,18.7,29.4,0,0,2,9
3,14.9,27.3,0.0,2.4,4.8,10.0,41.0,11.0,10.0,20.0,13.0,50.0,30.0,1011.6,1008.5,6.0,1.0,17.4,25.8,0,0,2,10
3,13.5,26.7,0.0,7.0,0.0,10.0,46.0,11.0,14.0,19.0,11.0,45.0,24.0,1012.8,1011.1,0.0,7.0,16.7,24.9,0,0,2,11
3,16.1,21.6,0.0,0.6,5.7,12.0,46.0,11.0,11.0,11.0,15.0,58.0,69.0,1017.0,1017.3,2.0,8.0,17.0,17.3,0,1,2,12
3,14.6,29.0,2.0,1.2,11.9,10.0,41.0,13.0,12.0,26.0,24.0,41.0,21.0,1023.3,1019.7,8.0,8.0,18.0,27.6,1,0,2,13
3,12.4,29.2,0.0,6.0,10.9,11.0,39.0,10.0,10.0,7.0,0.0,37.0,18.0,1022.5,1016.4,8.0,3.0,18.3,28.5,0,0,2,14
3,13.3,31.3,0.0,8.0,10.9,6.0,41.0,11.0,7.0,7.0,15.0,50.0,23.0,1016.2,1012.8,6.0,5.0,19.2,29.2,0,0,2,15
3,17.2,31.1,0.0,2.0,7.8,15.0,35.0,13.0,15.0,17.0,11.0,43.0,22.0,1017.7,1013.8,7.0,7.0,21.4,29.5,0,0,2,16
3,12.5,28.8,0.0,3.2,11.6,3.0,31.0,11.0,13.0,7.0,11.0,46.0,17.0,1017.2,1013.5,7.0,5.0,18.0,27.0,0,0,2,17
3,18.0,32.0,0.0,4.8,10.8,1.0,31.0,12.0,9.0,4.0,13.0,44.0,22.0,1012.4,1007.5,8.0,4.0,22.1,30.7,0,0,2,18
3,16.2,34.0,0.0,1.8,10.9,5.0,48.0,13.0,6.0,4.0,22.0,53.0,16.0,1007.8,1004.5,5.0,6.0,21.0,32.7,0,0,2,19
3,18.7,29.1,0.0,4.4,5.9,8.0,41.0,0.0,12.0,7.0,17.0,45.0,39.0,1010.1,1010.8,1.0,5.0,21.5,26.8,0,0,2,20
3,13.7,31.7,0.0,2.0,4.7,10.0,28.0,11.0,8.0,2.0,9.0,63.0,19.0,1012.5,1010.4,1.0,1.0,19.3,29.8,0,0,2,21
3,15.5,33.2,0.0,2.2,6.3,1.0,31.0,10.0,3.0,11.0,15.0,49.0,23.0,1015.6,1012.4,2.0,0.0,20.9,31.3,0,0,2,22
3,14.3,34.0,0.0,0.8,10.4,1.0,70.0,13.0,0.0,6.0,22.0,48.0,10.0,1013.0,1009.2,8.0,5.0,20.7,33.4,0,0,2,23
3,12.9,29.6,0.0,4.4,1.2,2.0,46.0,7.0,3.0,7.0,24.0,54.0,14.0,1014.0,1012.7,6.0,7.0,18.7,28.6,0,0,2,24
3,8.9,31.9,0.0,7.4,8.1,2.0,43.0,1.0,6.0,0.0,17.0,49.0,16.0,1016.6,1013.4,7.0,7.0,15.0,29.3,0,0,2,25
3,15.0,32.7,0.0,13.6,11.2,13.0,26.0,14.0,8.0,15.0,2.0,43.0,19.0,1017.8,1015.0,6.0,1.0,20.7,30.5,0,0,2,26
3,15.4,32.6,0.0,6.0,11.0,4.0,24.0,1.0,8.0,0.0,6.0,53.0,25.0,1016.2,1012.6,2.0,6.0,20.0,30.8,0,0,2,27
3,16.0,34.5,0.0,8.6,6.9,5.0,44.0,15.0,10.0,6.0,17.0,44.0,14.0,1007.5,1004.6,1.0,8.0,22.2,33.6,0,0,2,28
3,12.8,30.3,0.0,2.4,2.3,4.0,30.0,5.0,6.0,4.0,13.0,53.0,27.0,1010.5,1008.7,1.0,3.0,17.3,28.1,0,0,3,1
3,13.2,31.9,0.0,1.6,9.2,0.0,35.0,10.0,13.0,6.0,9.0,53.0,25.0,1014.1,1011.6,7.0,6.0,18.0,29.8,0,0,3,2
3,18.0,31.1,0.0,3.4,10.6,2.0,52.0,9.0,5.0,15.0,26.0,58.0,35.0,1014.7,1009.0,5.0,1.0,23.0,29.2,0,0,3,3
3,13.8,22.1,0.2,6.2,1.7,2.0,57.0,5.0,3.0,26.0,33.0,57.0,26.0,1014.5,1013.1,7.0,1.0,15.6,21.9,0,0,3,4
3,11.5,22.0,0.0,2.6,3.7,9.0,50.0,6.0,4.0,19.0,33.0,60.0,33.0,1013.7,1011.8,5.0,1.0,13.9,21.4,0,0,3,5
3,7.6,24.0,0.0,2.8,8.8,5.0,30.0,1.0,3.0,0.0,13.0,52.0,23.0,1014.5,1012.0,0.0,2.0,12.6,22.0,0,0,3,6
3,8.3,27.9,0.0,1.0,9.3,4.0,37.0,10.0,4.0,4.0,20.0,58.0,22.0,1015.2,1012.4,0.0,0.0,13.3,27.0,0,0,3,7
3,11.0,30.2,0.0,2.4,3.5,10.0,24.0,15.0,12.0,7.0,11.0,54.0,20.0,1017.0,1014.7,7.0,2.0,17.6,28.8,0,0,3,8
3,13.8,31.8,0.0,5.8,5.7,6.0,24.0,11.0,11.0,6.0,17.0,49.0,28.0,1019.7,1015.9,0.0,1.0,18.6,30.5,0,0,3,9
3,15.5,32.0,0.0,7.0,8.3,11.0,50.0,14.0,14.0,2.0,4.0,51.0,25.0,1019.5,1016.2,4.0,1.0,20.1,30.8,0,1,3,10
3,18.4,30.5,1.2,0.8,10.4,11.0,44.0,9.0,2.0,15.0,19.0,57.0,23.0,1021.3,1018.0,7.0,7.0,21.5,29.6,1,0,3,11
3,20.9,25.7,0.0,5.4,0.8,4.0,37.0,12.0,8.0,11.0,9.0,52.0,90.0,1019.5,1018.9,8.0,8.0,22.2,18.8,0,1,3,12
3,17.1,25.8,2.0,5.0,11.8,14.0,31.0,1.0,8.0,0.0,13.0,82.0,68.0,1017.4,1014.7,8.0,2.0,19.0,23.8,1,1,3,13
3,16.4,27.0,2.0,6.0,12.2,9.0,69.0,15.0,2.0,9.0,22.0,82.0,74.0,1012.7,1008.0,6.0,4.0,19.9,19.7,1,1,3,14
3,10.0,19.7,2.0,4.8,11.8,2.0,39.0,5.0,0.0,11.0,17.0,62.0,41.0,1013.4,1012.0,3.0,8.0,12.7,18.3,1,0,3,15
3,8.8,21.9,0.0,1.6,4.7,4.0,39.0,10.0,3.0,2.0,20.0,78.0,34.0,1013.3,1011.6,0.0,6.0,12.2,20.5,0,0,3,16
3,8.4,25.3,0.0,6.2,5.4,2.0,35.0,11.0,6.0,9.0,17.0,78.0,34.0,1015.6,1013.2,8.0,7.0,12.1,23.9,0,0,3,17
3,9.3,28.0,0.0,1.4,1.1,1.0,52.0,11.0,0.0,6.0,11.0,76.0,19.0,1017.4,1013.9,8.0,0.0,14.7,27.2,0,0,3,18
3,11.3,30.1,0.0,12.8,12.8,5.0,24.0,10.0,9.0,6.0,7.0,56.0,15.0,1016.3,1013.6,5.0,7.0,14.7,29.3,0,0,3,19
3,11.5,33.5,0.0,7.4,12.6,10.0,22.0,9.0,2.0,7.0,7.0,50.0,13.0,1016.5,1013.6,3.0,1.0,17.4,32.6,0,0,3,20
3,13.8,33.6,0.0,7.2,13.0,0.0,28.0,1.0,5.0,0.0,11.0,47.0,17.0,1017.0,1013.1,7.0,2.0,18.8,33.5,0,0,3,21
3,14.6,30.0,0.0,9.2,3.9,11.0,37.0,15.0,5.0,4.0,19.0,56.0,30.0,1014.8,1012.7,3.0,1.0,18.1,29.0,0,0,3,22
3,14.4,31.6,0.0,5.2,8.3,1.0,37.0,1.0,3.0,0.0,24.0,63.0,25.0,1013.7,1011.8,0.0,7.0,18.8,31.4,0,0,3,23
3,10.8,31.9,0.0,3.2,9.1,7.0,48.0,11.0,3.0,6.0,20.0,62.0,20.0,1016.5,1014.4,1.0,6.0,15.4,30.7,0,0,3,24
3,15.4,22.3,0.4,1.0,8.8,14.0,30.0,11.0,12.0,11.0,9.0,69.0,78.0,1017.4,1019.2,8.0,8.0,18.3,19.6,0,1,3,25
3,13.3,29.8,1.8,1.0,13.0,5.0,33.0,1.0,3.0,0.0,20.0,87.0,26.0,1019.1,1017.2,7.0,6.0,16.2,29.2,1,0,3,26
3,10.1,27.6,0.0,6.2,8.4,2.0,43.0,1.0,4.0,0.0,11.0,63.0,30.0,1023.0,1020.7,7.0,5.0,16.5,26.8,0,0,3,27
3,9.1,28.9,0.0,6.4,5.0,0.0,24.0,1.0,2.0,2.0,17.0,60.0,26.0,1023.8,1020.6,1.0,8.0,14.0,27.7,0,0,3,28
3,10.4,31.2,0.0,5.0,5.9,7.0,22.0,1.0,10.0,0.0,6.0,60.0,18.0,1022.4,1019.1,6.0,7.0,16.0,29.9,0,0,3,29
3,13.4,30.4,0.0,2.0,10.6,14.0,22.0,1.0,10.0,0.0,9.0,57.0,16.0,1023.0,1019.5,7.0,1.0,17.2,29.2,0,0,3,30
3,12.3,29.9,0.0,13.6,8.5,5.0,26.0,10.0,7.0,2.0,13.0,61.0,25.0,1023.2,1019.5,7.0,1.0,17.1,28.6,0,0,3,31
3,12.2,30.6,0.0,5.0,11.5,12.0,22.0,1.0,13.0,0.0,6.0,59.0,22.0,1022.6,1019.4,0.0,8.0,16.6,29.5,0,0,4,1
3,14.3,32.1,0.0,7.4,12.3,11.0,28.0,1.0,13.0,0.0,11.0,59.0,30.0,1022.6,1018.4,2.0,3.0,18.4,30.9,0,1,4,2
3,18.4,28.1,2.0,3.0,13.4,4.0,70.0,15.0,5.0,7.0,17.0,92.0,49.0,1018.8,1012.9,8.0,6.0,19.0,27.4,1,1,4,3
3,10.7,21.4,2.0,3.6,9.9,4.0,43.0,1.0,6.0,0.0,13.0,60.0,33.0,1019.8,1019.3,7.0,2.0,13.9,20.3,1,0,4,4
3,7.8,21.7,0.0,5.6,8.7,5.0,31.0,15.0,0.0,6.0,19.0,72.0,37.0,1020.4,1016.5,5.0,1.0,12.9,21.2,0,0,4,5
3,8.1,21.4,0.0,7.8,10.5,4.0,35.0,11.0,6.0,13.0,19.0,58.0,20.0,1021.8,1019.6,2.0,8.0,13.8,20.9,0,0,4,6
3,7.5,22.5,0.0,6.8,10.3,12.0,28.0,10.0,8.0,7.0,7.0,55.0,27.0,1026.7,1023.5,0.0,0.0,13.3,21.6,0,0,4,7
3,8.2,24.0,0.0,5.8,2.1,10.0,17.0,11.0,12.0,7.0,13.0,60.0,30.0,1027.1,1023.4,1.0,8.0,13.8,23.5,0,0,4,8
3,8.1,25.7,0.0,4.6,10.0,14.0,22.0,14.0,8.0,9.0,13.0,67.0,27.0,1024.2,1019.6,7.0,8.0,15.1,25.0,0,0,4,9
3,11.6,26.7,0.0,2.8,9.7,4.0,48.0,13.0,11.0,6.0,11.0,59.0,42.0,1021.5,1017.7,8.0,7.0,16.4,24.3,0,1,4,10
3,13.0,24.9,2.0,10.0,12.1,4.0,46.0,10.0,14.0,6.0,11.0,75.0,47.0,1024.4,1020.3,8.0,6.0,18.0,24.4,1,1,4,11
3,13.5,24.2,2.0,3.2,9.2,5.0,20.0,1.0,10.0,0.0,6.0,88.0,52.0,1024.1,1020.8,8.0,8.0,15.4,23.1,1,0,4,12
3,9.9,25.4,0.0,8.6,10.3,6.0,19.0,12.0,7.0,4.0,7.0,65.0,35.0,1023.0,1018.7,7.0,7.0,16.1,25.0,0,0,4,13
3,12.2,25.0,0.0,6.6,0.0,2.0,30.0,1.0,4.0,0.0,15.0,68.0,39.0,1016.3,1011.6,6.0,1.0,16.2,24.6,0,0,4,14
3,10.7,21.9,0.0,2.6,7.8,4.0,63.0,2.0,4.0,26.0,31.0,44.0,27.0,1008.2,1009.8,2.0,7.0,20.5,18.9,0,0,4,15
3,3.5,20.0,0.0,6.8,8.9,4.0,31.0,1.0,3.0,0.0,13.0,65.0,30.0,1016.3,1012.8,6.0,1.0,9.6,19.4,0,0,4,16
3,6.6,21.6,0.0,7.0,9.0,2.0,26.0,12.0,4.0,6.0,11.0,59.0,39.0,1018.5,1016.8,5.0,1.0,12.6,21.6,0,0,4,17
3,7.0,23.4,0.0,7.2,6.3,4.0,24.0,11.0,4.0,2.0,17.0,73.0,37.0,1022.8,1019.3,0.0,6.0,12.4,22.9,0,0,4,18
3,11.2,23.9,0.0,2.0,10.1,12.0,31.0,13.0,10.0,13.0,15.0,54.0,33.0,1022.7,1019.6,7.0,0.0,18.0,23.6,0,0,4,19
3,7.4,22.0,0.0,10.6,2.5,10.0,28.0,13.0,10.0,2.0,7.0,58.0,29.0,1023.6,1020.0,2.0,1.0,14.1,21.3,0,0,4,20
3,5.7,21.4,0.0,2.8,4.9,13.0,17.0,12.0,12.0,6.0,7.0,68.0,39.0,1025.2,1020.9,1.0,2.0,12.2,20.9,0,0,4,21
3,6.2,22.7,0.0,13.4,0.5,13.0,17.0,1.0,9.0,0.0,7.0,73.0,33.0,1026.0,1021.6,1.0,8.0,11.2,22.3,0,0,4,22
3,6.0,22.9,0.0,8.4,1.6,11.0,33.0,1.0,11.0,0.0,20.0,68.0,34.0,1021.3,1015.7,7.0,5.0,12.9,22.6,0,0,4,23
3,10.6,16.2,0.0,0.8,11.9,2.0,39.0,14.0,5.0,7.0,4.0,74.0,86.0,1008.9,1002.4,8.0,8.0,14.9,15.1,0,1,4,24
3,12.9,15.8,2.0,5.4,10.5,4.0,70.0,4.0,1.0,19.0,15.0,83.0,89.0,1004.8,1001.15,8.0,8.0,13.3,14.5,1,1,4,25
3,8.6,12.9,2.0,9.4,13.2,0.0,63.0,2.0,3.0,26.0,31.0,77.0,62.0,1004.15,1003.3,8.0,8.0,9.5,11.6,1,1,4,26
3,4.5,11.5,2.0,8.6,5.2,1.0,26.0,1.0,1.0,9.0,13.0,82.0,79.0,1013.8,1013.5,8.0,8.0,7.6,9.4,1,1,4,27
3,7.6,14.5,2.0,3.0,3.4,2.0,35.0,5.0,4.0,15.0,20.0,83.0,48.0,1018.0,1018.3,8.0,1.0,10.1,14.0,1,0,4,28
3,5.4,12.2,0.0,1.4,11.0,10.0,19.0,13.0,12.0,9.0,7.0,62.0,46.0,1023.1,1020.9,3.0,8.0,8.2,12.1,0,0,4,29
3,2.1,16.5,0.0,2.2,4.0,9.0,19.0,1.0,9.0,0.0,7.0,70.0,38.0,1023.4,1021.5,6.0,1.0,7.9,16.1,0,0,4,30
3,1.8,17.0,0.0,5.0,12.9,9.0,19.0,1.0,6.0,0.0,7.0,77.0,44.0,1026.0,1023.2,0.0,6.0,7.2,16.3,0,0,5,1
3,7.2,19.2,0.0,4.8,10.3,9.0,22.0,12.0,4.0,7.0,6.0,81.0,49.0,1026.9,1024.0,8.0,4.0,10.1,19.1,0,0,5,2
3,4.6,18.9,0.0,4.2,10.1,7.0,15.0,1.0,12.0,4.0,7.0,75.0,51.0,1028.7,1025.9,7.0,2.0,10.6,18.5,0,0,5,3
3,4.2,19.1,0.0,12.8,5.7,4.0,19.0,12.0,6.0,6.0,13.0,86.0,44.0,1029.8,1027.3,5.0,8.0,9.6,18.8,0,0,5,4
